epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,45793.8,0.45604,0.03587,0.07618,0.16557,0.00095,-3.40645,0.99682,0.99534,0.99499,0.94731,0.99682,0.99534,0.99499,0.99499,0.34522,0.01023,0.03736,0.10922,0.00115,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,46063.9,0.45687,0.03671,0.07734,0.16598,0.00095,-3.41884,0.99558,0.99815,0.99499,0.9469,0.99558,0.99815,0.99499,0.99499,0.34211,0.00971,0.03758,0.108,0.00114,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,46335.8,0.4449,0.03326,0.07153,0.15897,0.00092,-3.483,0.99678,0.99476,0.99499,0.9458,0.99678,0.99476,0.99499,0.99499,0.34403,0.00966,0.0383,0.11023,0.00115,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,46607,0.4457,0.03248,0.0753,0.15972,0.00093,-3.46879,0.99734,0.99542,0.99499,0.94821,0.99734,0.99542,0.99499,0.99499,0.33865,0.00965,0.03581,0.10768,0.00113,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,46884,0.4474,0.0353,0.07052,0.16245,0.00092,-3.53266,0.99564,0.99439,0.99496,0.94683,0.99564,0.99439,0.99496,0.99496,0.34263,0.00997,0.03289,0.11165,0.00114,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,47161.6,0.44442,0.03167,0.07142,0.15746,0.00093,-3.49584,0.99757,0.99695,0.99499,0.94765,0.99757,0.99695,0.99499,0.99499,0.34312,0.00944,0.03776,0.10839,0.00115,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,47433,0.44252,0.03558,0.06875,0.16641,0.00093,-3.51412,0.995,0.99535,0.99497,0.94598,0.995,0.99535,0.99497,0.99497,0.34291,0.00936,0.03488,0.11379,0.00115,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,47704.4,0.43559,0.02778,0.0677,0.16322,0.0009,-3.5952,0.99602,0.99601,0.99498,0.94756,0.99602,0.99601,0.99498,0.99498,0.33701,0.00942,0.03448,0.10847,0.00112,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,47976.7,0.44218,0.0345,0.06695,0.16549,0.00092,-3.58705,0.99518,0.99784,0.99498,0.95078,0.99518,0.99784,0.99498,0.99498,0.33415,0.00921,0.03507,0.10711,0.00111,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,48249.7,0.43433,0.03104,0.06584,0.15813,0.0009,-3.6351,0.9965,0.99738,0.99499,0.95034,0.9965,0.99738,0.99499,0.99499,0.33388,0.00918,0.03522,0.10611,0.00111,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,48521.7,0.43399,0.02964,0.06523,0.15612,0.00091,-3.6281,0.99715,0.99582,0.99499,0.94896,0.99715,0.99582,0.99499,0.99499,0.33447,0.00925,0.0328,0.10655,0.00111,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,48795.7,0.43284,0.03153,0.06287,0.15719,0.0009,-3.69663,0.99843,0.99575,0.995,0.95332,0.99843,0.99575,0.995,0.995,0.32695,0.00902,0.03422,0.10371,0.00109,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,49069.1,0.43788,0.02804,0.06466,0.15409,0.0009,-3.68922,0.99689,0.99735,0.995,0.95123,0.99689,0.99735,0.995,0.995,0.32993,0.00913,0.03494,0.10469,0.0011,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,49344.6,0.43184,0.03216,0.06377,0.15216,0.00089,-3.72325,0.99607,0.99772,0.995,0.95343,0.99607,0.99772,0.995,0.995,0.32644,0.00884,0.03348,0.10383,0.00108,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,49617.5,0.43009,0.03179,0.06129,0.15388,0.0009,-3.73386,0.99867,0.99628,0.995,0.95435,0.99867,0.99628,0.995,0.995,0.3259,0.00888,0.03132,0.10235,0.00108,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,49890.8,0.43106,0.02753,0.0616,0.1484,0.00089,-3.79473,0.99783,0.99728,0.99498,0.95205,0.99783,0.99728,0.99498,0.99498,0.32794,0.00894,0.03156,0.10396,0.00109,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,50168.2,0.42727,0.0316,0.06059,0.15196,0.00088,-3.81592,0.99702,0.99555,0.99498,0.95368,0.99702,0.99555,0.99498,0.99498,0.32494,0.00881,0.03215,0.10473,0.00108,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,50443.3,0.4266,0.02921,0.06371,0.15424,0.00089,-3.75345,0.997,0.99654,0.99498,0.95445,0.997,0.99654,0.99498,0.99498,0.32319,0.0087,0.03229,0.10676,0.00108,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,50721,0.42696,0.02994,0.06095,0.15872,0.00088,-3.83426,0.99628,0.99627,0.99498,0.95544,0.99628,0.99627,0.99498,0.99498,0.32143,0.00874,0.03239,0.1051,0.00107,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,51004,0.42454,0.03,0.06142,0.15831,0.00088,-3.84431,0.99615,0.99499,0.99498,0.95505,0.99615,0.99499,0.99498,0.99498,0.32319,0.00876,0.03229,0.10716,0.00107,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,51281.5,0.42047,0.02594,0.05676,0.15261,0.00088,-3.89191,0.9959,0.99686,0.99498,0.95633,0.9959,0.99686,0.99498,0.99498,0.3196,0.00856,0.02994,0.10357,0.00106,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,51564.3,0.4196,0.02767,0.05614,0.1493,0.00087,-3.92311,0.99678,0.99613,0.99499,0.9558,0.99678,0.99613,0.99499,0.99499,0.32166,0.00849,0.03034,0.10406,0.00107,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,51851.2,0.41808,0.02644,0.05544,0.1483,0.00086,-3.96866,0.99845,0.99611,0.99499,0.95667,0.99845,0.99611,0.99499,0.99499,0.32143,0.00844,0.02994,0.10264,0.00107,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,52145.2,0.41694,0.02798,0.05422,0.14694,0.00086,-3.93962,0.99817,0.99738,0.99499,0.95707,0.99817,0.99738,0.99499,0.99499,0.31929,0.00839,0.02763,0.10156,0.00106,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,52445.5,0.41666,0.02957,0.05611,0.14796,0.00086,-3.91843,0.99787,0.99803,0.99499,0.95769,0.99787,0.99803,0.99499,0.99499,0.31741,0.0085,0.02851,0.10206,0.00106,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,52733.5,0.41065,0.02571,0.05311,0.14443,0.00085,-4.00846,0.99828,0.99733,0.995,0.95673,0.99828,0.99733,0.995,0.995,0.31832,0.00838,0.02701,0.10135,0.00106,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,53030.3,0.41658,0.02918,0.05465,0.15032,0.00086,-3.98887,0.99732,0.99753,0.99499,0.95687,0.99732,0.99753,0.99499,0.99499,0.31714,0.00841,0.0272,0.10198,0.00106,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,53327.1,0.4132,0.02558,0.05267,0.14201,0.00085,-4.03119,0.99803,0.99642,0.995,0.9566,0.99803,0.99642,0.995,0.995,0.31503,0.00815,0.02679,0.10049,0.00105,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,53624.1,0.41224,0.03063,0.05254,0.14492,0.00085,-4.05228,0.99772,0.99765,0.995,0.95702,0.99772,0.99765,0.995,0.995,0.31461,0.0081,0.0264,0.10047,0.00105,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,53919.1,0.40986,0.02828,0.05051,0.14701,0.00086,-4.06865,0.99735,0.99771,0.995,0.95803,0.99735,0.99771,0.995,0.995,0.31534,0.00806,0.02512,0.10058,0.00105,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,54216.3,0.40826,0.02678,0.05185,0.14373,0.00085,-4.08105,0.99688,0.99711,0.995,0.95902,0.99688,0.99711,0.995,0.995,0.31208,0.00801,0.02631,0.10017,0.00104,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,54512.6,0.40752,0.02717,0.04965,0.14172,0.00083,-4.19286,0.99877,0.99758,0.995,0.95928,0.99877,0.99758,0.995,0.995,0.31242,0.008,0.0252,0.09816,0.00104,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,54815.8,0.40552,0.02615,0.04826,0.14103,0.00083,-4.23629,0.99772,0.99775,0.995,0.95996,0.99772,0.99775,0.995,0.995,0.3103,0.00792,0.02509,0.09851,0.00103,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
